Car_ID,Brand,Model,Year,Price_Lakh_INR,Fuel_Type,Transmission,Engine_CC,Mileage_or_Range,Safety_Rating,Airbags,ABS,ESP,Rear_Camera,Driver_Behavior,Road_Risk,Pothole_Risk,Engine_Temperature_C,Battery_Voltage_V,Brake_Condition,Tire_Pressure_PSI,Oil_Health_Percent,Maintenance_Risk,Maintenance_Risk_Score,Accident_Risk,Accident_Risk_Score,Overall_Safety_Score,Recommendation_Score,Recommendation
1,Maruti Suzuki,Dzire,2019,4.5,Petrol,Automatic,1597,14.4,4,6,Yes,Yes,Yes,Normal,High,0.38,95.9,12.71,Good,32.9,63.6,Low,20.082251506536366,Medium,39.40029635605499,75,71.91,Recommended
2,Hyundai,Verna,2022,8.72,Petrol,Automatic,2198,17.8,4,6,Yes,Yes,Yes,Aggressive,High,0.33,82.3,12.78,Good,31.7,65.4,Low,7.9875939215438,Medium,52.202371151298806,73,71.52000000000001,Recommended
3,Skoda,Slavia,2019,8.95,CNG,Automatic,1199,25.7,4,4,Yes,Yes,Yes,Normal,Low,0.14,92.4,11.84,Moderate,30.8,68.4,Low,30.88428874386658,Low,23.779765244937586,69,74.905,Recommended
4,Toyota,Hyryder,2019,12.44,Petrol,Manual,1597,21.1,5,6,Yes,Yes,Yes,Normal,Low,0.02,80.1,12.09,Good,32.4,88.4,Low,21.923736768317326,Low,11.034158764306857,93,76.015,Highly Recommended
5,Skoda,Kushaq,2021,10.56,Petrol,Automatic,1197,17.7,4,6,Yes,Yes,Yes,Calm,Medium,0.27,87.3,12.31,Good,27.8,56.3,Low,8.681501938227989,Low,16.41101268959407,85,76.905,Highly Recommended
6,Kia,Carens,2025,10.98,CNG,Manual,2198,27.2,4,6,Yes,Yes,No,Normal,Low,0.15,89.7,12.23,Moderate,32.2,70.1,Low,11.628381056773522,Low,18.087408582093772,78,68.18,Recommended
7,Hyundai,Creta,2025,11.71,Diesel,Manual,1290,25.1,4,4,Yes,Yes,Yes,Calm,High,0.34,78.4,12.79,Good,28.3,62.8,Low,14.587569237250976,Medium,38.15250627157752,72,67.16499999999999,Recommended
8,Tata,Altroz,2020,4.5,Diesel,Automatic,1498,21.8,4,4,Yes,Yes,Yes,Aggressive,High,0.36,80.8,11.75,Good,31.9,100.0,Low,20.65137260736443,Medium,54.13095804409223,66,68.97,Recommended
9,Mahindra,Thar,2020,19.19,Petrol,Manual,1497,16.1,3,6,Yes,No,No,Normal,Low,0.12,83.4,12.7,Good,28.9,58.8,Low,15.282939588610597,Low,18.71636502564174,60,54.415,Consider
10,Volkswagen,Virtus,2022,15.16,Electric,Manual,0,327.4,4,4,Yes,Yes,Yes,Risky,Low,0.25,100.1,12.42,Good,35.7,61.4,Low,14.086364905220863,Medium,40.57330717875618,72,79.6775,Highly Recommended
11,Kia,Sonet,2026,13.41,Diesel,Manual,1197,21.3,3,6,Yes,No,Yes,Normal,Medium,0.15,85.7,12.91,Moderate,32.1,70.7,Low,8.616634528190195,Medium,31.011031301218416,51,57.144999999999996,Consider
12,Tata,Altroz,2024,11.11,Electric,Manual,0,337.7,4,6,Yes,Yes,Yes,Normal,High,0.52,82.0,12.37,Good,30.5,82.7,Low,12.084268104441167,Medium,39.48366464902556,76,81.86375000000001,Highly Recommended
13,Tata,Harrier,2025,8.96,Petrol,Manual,1498,15.9,3,6,Yes,No,Yes,Normal,Low,0.03,100.9,13.8,Good,31.1,83.1,Low,20.008488222027967,Low,6.65257168628705,64,62.185,Recommended
14,Skoda,Slavia,2020,13.9,Electric,Manual,0,274.4,4,2,Yes,Yes,Yes,Normal,Medium,0.23,90.5,12.52,Moderate,30.2,82.7,Low,5.818567007932551,Medium,36.97267323572238,64,74.09,Recommended
15,Tata,Harrier,2023,6.51,Petrol,Manual,998,19.9,3,7,Yes,No,No,Aggressive,High,0.33,89.8,12.52,Moderate,31.7,74.2,Low,9.79281256051234,High,60.48596789197263,42,46.885000000000005,Consider
16,Volkswagen,Virtus,2022,12.39,Petrol,Automatic,998,12.9,5,6,Yes,Yes,Yes,Normal,Low,0.04,85.7,13.09,Moderate,36.3,95.7,Low,3.70043339464788,Low,22.77573810467117,85,76.185,Highly Recommended
17,Hyundai,Creta,2024,10.9,CNG,Manual,998,28.0,5,4,Yes,Yes,Yes,Normal,Low,0.27,93.1,11.79,Good,29.1,70.2,Medium,39.536142166383605,Low,17.950135243590786,84,77.0,Highly Recommended
18,Tata,Curvv,2025,9.9,Electric,Manual,0,313.1,4,6,Yes,Yes,Yes,Normal,Low,0.13,90.9,13.23,Good,30.5,86.9,Low,0.0,Low,18.503796192214036,86,85.44125,Highly Recommended
